model,cv_auc_mean,cv_auc_std,seconds,minutes,n_rows
XGBoost,0.901781225013772,0.001887754972725236,3.6043765544891357,0.060072942574818926,200000
LightGBM,0.9000081859602928,0.0017166293826581295,3.166367292404175,0.05277278820673625,200000
GradBoost,0.848371659799741,0.0031336250033887547,20.851816415786743,0.3475302735964457,200000
RandomForest,0.8381181055401195,0.0023556482879948013,133.9221954345703,2.232036590576172,200000
LogReg,0.7909921280960794,0.00385464895410848,5.0372583866119385,0.08395430644353231,200000
